time	conc	replicate	expw
0	0	1	0.000311
0.146	0.0018218	1	0.000311
0.146	0.0018862	2	0.000311
0.146	0.0016781	3	0.000311
0.146	0.0019829	4	0.000311
0.313	0.0074558	1	0.000311
0.313	0.0035323	2	0.000311
0.313	0.0035694	3	0.000311
0.313	0.0021306	4	0.000311
0.313	0.0039031	5	0.000311
1.01	0.0052546	1	0.000311
1.01	0.0079979	2	0.000311
1.01	0.0074132	3	0.000311
1.01	0.0057127	4	0.000311
1.01	0.0062901	5	0.000311
2.021	0.0071119	1	0.000311
2.021	0.0146167	2	0.000311
2.021	0.008465	3	0.000311
2.021	0.0090854	4	0.000311
2.021	0.0150302	5	0.000311
2.125	0.0108626	1	0.000311
2.125	0.0098321	2	0.000311
2.125	0.0058383	3	0.000311
2.125	0.0122004	4	0.000311
2.125	0.0097995	5	0.000311
2.313	0.0080474	1	0.000311
2.313	0.0122281	2	0.000311
2.313	0.0108939	3	0.000311
2.313	0.0147356	4	0.000311
2.313	0.0105591	5	0.000311
3.021	0.0089666	1	0.000311
3.021	0.0084762	2	0.000311
3.021	0.0110226	3	0.000311
3.021	0.0089979	4	0.000311
3.021	0.0046951	5	0.000311
4.021	0.0050656	1	0.000311
4.021	0.0036412	2	0.000311
4.021	0.0065511	3	0.000311
4.021	0.005465	4	0.000311
4.021	0.0079729	5	0.000311
5	0.0090632	1	0.000311
5	0.0091125	2	0.000311
5	0.0077383	3	0.000311
5	0.0086761	4	0.000311
5	0.0051474	5	0.000311
7.063	0.006157	1	0.000311
7.063	0.0080627	2	0.000311
7.063	0.0041846	3	0.000311
7.063	0.0070984	4	0.000311
7.063	0.0066482	5	0.000311
