time;conc;expw;replicate
0;14.4067231374647;10;1
1;202.441139198293;10;1
2;217.808310544922;10;1
3;358.56733142133;10;1
5;389.301674114589;10;1
10;435.083038751417;10;1
14;637.844327352764;10;1
21;730.154071900222;10;1
24;901.860868405257;10;1
28;1088.93483625692;10;1
29;649.369705862736;10;1
30;570.612952711266;10;1
31;601.667444807577;10;1
33;538.491295938105;10;1
35;333.809110918429;10;1
38;113.439605149071;10;1
42;128.166477689588;10;1
45;48.769425732009;10;1
49;47.5955445874751;10;1
56;29.9873274194633;10;1
