time;conc;expw;replicate
0;12.5199107996177;10;1
1;263.682701497291;10;1
2;458.649251353934;10;1
3;458.266964001274;10;1
5;597.323988531378;10;1
10;721.758521822236;10;1
14;720.802803440587;10;1
21;760.84740363173;10;1
24;634.501433577572;10;1
28;828.990124243388;10;1
29;828.703408728893;10;1
30;758.553679515769;10;1
31;674.64160560688;10;1
33;729.977699904427;10;1
35;296.846129340554;10;1
38;100.828289264096;10;1
42;127.779547626631;10;1
45;85.1545078050312;10;1
49;42.2427524689374;10;1
56;54.2848040777298;10;1
