time;conc;expw;replicate
0;20.9589041095896;10;1
1;50.9589041095896;10;1
2;101.301369863013;10;1
3;201.438356164384;10;1
5;201.849315068493;10;1
10;322.671232876713;10;1
14;513.424657534246;10;1
21;694.657534246576;10;1
24;725.13698630137;10;1
28;555.82191780822;10;1
29;596.095890410959;10;1
30;676.232876712329;10;1
31;496.369863013699;10;1
33;426.643835616439;10;1
35;497.123287671233;10;1
38;317.671232876713;10;1
42;178.424657534247;10;1
45;169.041095890411;10;1
49;109.58904109589;10;1
56;70.8904109589052;10;1
