time	conc	replicate	expw
0	0	1	0.000369
0.146	0.0900408	1	0.000369
0.146	0.0563288	2	0.000369
0.146	0.1504509	3	0.000369
0.146	0.0641239	4	0.000369
0.146	0.0983784	5	0.000369
0.354	0.1402296	1	0.000369
0.354	0.0645419	2	0.000369
0.354	0.1379742	3	0.000369
0.354	0.1480984	4	0.000369
1	0.237687	1	0.000369
1	0.2912102	2	0.000369
1	0.1988199	3	0.000369
1	0.1590104	4	0.000369
1	0.2331855	5	0.000369
2.048	0.2596031	1	0.000369
2.048	0.3498417	2	0.000369
2.048	0.4107045	3	0.000369
2.048	0.2217237	4	0.000369
2.048	0.2541858	5	0.000369
2.173	0.4497932	1	0.000369
2.173	0.2563718	2	0.000369
2.173	0.4699018	3	0.000369
2.173	0.4544581	4	0.000369
2.173	0.3207119	5	0.000369
2.35	0.4484851	1	0.000369
2.35	0.3622452	2	0.000369
2.35	0.2919971	3	0.000369
2.35	0.3277935	4	0.000369
2.35	0.4152659	5	0.000369
2.965	0.487201	1	0.000369
2.965	0.2690285	2	0.000369
2.965	0.4186324	3	0.000369
2.965	0.3520597	4	0.000369
2.965	0.2429955	5	0.000369
3.965	0.2558565	1	0.000369
3.965	0.1970669	2	0.000369
3.965	0.3158885	3	0.000369
3.965	0.2151761	4	0.000369
3.965	0.2908006	5	0.000369
4.965	0.2284818	1	0.000369
4.965	0.2126224	2	0.000369
4.965	0.1932043	3	0.000369
4.965	0.1671511	4	0.000369
4.965	0.2934404	5	0.000369
6.985	0.1138492	1	0.000369
6.985	0.1591168	2	0.000369
6.985	0.1656131	3	0.000369
6.985	0.1538067	4	0.000369
