time	conc	expw	replicate
0	0	0.33	1
0	0	0.33	2
0	0	0.33	3
1.25	24.9	0.33	1
1.25	20.58	0.33	2
1.25	22.53	0.33	3
2.25	46.01	0.33	1
2.25	43.53	0.33	2
2.25	70.46	0.33	3
3.25	66.07	0.33	1
3.25	64.23	0.33	2
3.25	101.44	0.33	3
4.08	92.22	0.33	1
4.08	90.38	0.33	2
4.08	157.07	0.33	3
7.04	105.53	0.33	1
7.04	89.17	0.33	2
7.04	183.28	0.33	3
8.04	94.5805707696743	0.33	1
8.04	101.551480959097	0.33	2
8.04	171.444780635401	0.33	3
9.04	101.902565580859	0.33	1
9.04	83.836389280677	0.33	2
9.04	164.031770045386	0.33	3
10.04	90.4006918420294	0.33	1
10.04	80.2820874471086	0.33	2
10.04	161.913767019667	0.33	3
11.04	94.1481695012972	0.33	1
11.04	88.6600846262341	0.33	2
11.04	156.316187594554	0.33	3
14.04	80.4554626693572	0.33	1
14.04	89.1396332863188	0.33	2
14.04	133.547655068079	0.33	3
15.04	75.785528970885	0.33	1
15.04	87.5881523272214	0.33	2
15.04	144.024205748865	0.33	3
16.04	84.5488613433266	0.33	1
16.04	87.6445698166432	0.33	2
16.04	137.405446293495	0.33	3
17.04	80.4842894205823	0.33	1
17.04	84.6826516220028	0.33	2
17.04	134.039334341906	0.33	3
21.04	65.9556068031133	0.33	1
21.04	78.4485190409027	0.33	2
21.04	127.798789712557	0.33	3
25.04	59.7578552897089	0.33	1
25.04	76.8970380818053	0.33	2
25.04	123.714069591528	0.33	3
35.04	54.4825598155088	0.33	1
35.04	70.1269393511989	0.33	2
35.04	105.90015128593	0.33	3
39.04	49.2072643413087	0.33	1
39.04	65.444287729196	0.33	2
39.04	96.5204236006051	0.33	3
43.04	46.9299509945229	0.33	1
43.04	61.1847672778561	0.33	2
43.04	90.6580937972768	0.33	3
46.04	41.7699625252234	0.33	1
46.04	57.2919605077574	0.33	2
46.04	86.5733736762481	0.33	3
53.04	39.8385701931392	0.33	1
53.04	53.9915373765867	0.33	2
53.04	83.320726172466	0.33	3
57.04	37.5900835975786	0.33	1
57.04	50.5782792665726	0.33	2
57.04	80.143721633888	0.33	3
59.04	41.0204669933699	0.33	1
59.04	48.8575458392102	0.33	2
59.04	75.0378214826021	0.33	3
