"BAF.name","BAF50","BAF2.5","BAF97.5"
"BCF","514","422","629"
"BCF","3267","2558","4285"
"BCF","3275","2561","4271"
"BCF","118756","33521","2509635"
"BCF","117733","82830","202192"
"BCF","40","32","49"
"BCF","209","173","252"
"BCF","531","0","1165"
"BCF","11","10","11"
"BCF","1247","1097","1398"
"BCF","5153","4707","5682"
"BCF","3188","2243","4454"
"BCF","511","351","733"
"BCF","364","302","427"
"BCF","562","472","650"
"BCF","428","399","457"
"BCF","1183","1150","1215"
"BCF","793","0","1635"
"BCF","1023","0","27280"
"BCF","1406","671","2143"
"BSAF","3","2","3"
"BCF","4","0","59518"
"BCF","0","0","1465"
"BCF","0","0","919"
"BCF","38","24","53"
"BCF","8","0","6229"
"BCF","43","0","47094"
"BCF","223","6","806025"
"BCF","7","4","18"
"BCF","3982","1666","7674598"
"BMF","0.0473","0.0335","0.0635"
"BSAF","0.1629","0.1233","0.2138"
"BCF","5","3","11"
"BCF","1","0","585"
"BCF","132","76","184"
"BCF","10116","9286","11029"
"BCF","202","128","283"
"BCF","151","36","182457"
"BCF","2","0","1866"
"BSAF","0.0363","0.022","0.0499"
"BCF","7660","22","818346"
"BCF","276","257","294"
"BMF","0.0702","0.0602","0.0817"
"BSAF","0.4038","0.2502","0.7573"
"BMF","0.0952","0.0754","0.1168"
"BCF","105231","894","6452195"
"BCF","27","18","35"
"BCF","132","122","143"
"BCF","145030","1755","8144775"
"BCF","1","0","55"
"BCF","1414","632","54717"
"BCF","15","12","21"
"BSAF","0.315","0.27","0.365"
"BCF","541","83","29813"
"BSAF","1","1","1"
"BSAF","0.3497","0.1789","0.6237"
"BSAF","0.093","0.0767","0.1093"
"BMF","3.5e-03","2.6e-03","5e-03"
"BMF","0.0452","0.0231","0.0876"
"BMF","0.0124","0.0102","0.0148"
"BMF","2","1","17"
"BMF","0","0","4"
"BMF","0.0151","7.9e-03","0.0347"
"BMF","5.1e-03","4.2e-03","6.6e-03"
"BMF","6","1","87"
"BMF","8","1","109"
"BMF","9","1","117"
"BMF","4","1","63"
"BMF","0.2104","0.1213","0.4352"
"BMF","0.154","0.0843","0.4202"
"BMF","7e-03","5.8e-03","9e-03"
"BMF","0.0148","0.0103","0.0216"
"BCF","0.1489","0.1062","0.1868"
"BCF","70","6","4054"
"BCF","42","2","2152"
"BCF","129","10","7552"
"BCF","5","3","7"
"BSAF","25262","0","1706990"
"BCF","13","12","13"
"BCF","12","11","13"
"BCF","4","4","4"
"BCF","4","3","4"
"BMF","0.0351","0.0308","0.0392"
"BSAF","100","2","2276"
"BCF","902","766","1040"
"BSAF","111","4","1781"
"BSAF","0.2124","0.1788","0.2477"
"BMF","0.4912","0.4","0.6163"
"BMF","0.4993","0.3921","0.6722"
"BCF","77492","5384","1784701"
