time	conc	expw	replicate
0	0	0.0014	1
21	12.9225729310941	0.0014	1
21	11.0444890495152	0.0014	2
21	10.2866657288781	0.0014	3
43	16.354067477493	0.0014	1
43	14.6407548476454	0.0014	2
43	14.3441882358033	0.0014	3
65	23.2782202216066	0.0014	1
65	16.0624513071329	0.0014	2
65	13.0311309729916	0.0014	3
88	14.6506557306094	0.0014	1
88	17.4513612361495	0.0014	2
88	20.3178291637811	0.0014	3
133	21.6457918542243	0.0014	1
133	12.5848337950138	0.0014	2
163	15.655622403047	0.0014	1
163	19.2140700744459	0.0014	2
163	19.9389716066482	0.0014	3
