time	conc	replicate	expw
0	0	1	0.00002418
0.146	0.0013431	1	0.00002418
0.146	0.0015068	2	0.00002418
0.146	0.0011149	3	0.00002418
0.146	0.0007362	4	0.00002418
0.146	0.0034246	5	0.00002418
0.15	0.0009217	1	0.00002418
0.15	0.0032222	2	0.00002418
0.15	0.000852	3	0.00002418
0.15	0.0019877	4	0.00002418
0.15	0.0019465	5	0.00002418
0.323	0.0021161	1	0.00002418
0.323	0.0032406	2	0.00002418
0.323	0.0013393	3	0.00002418
0.323	0.0024811	4	0.00002418
0.323	0.0035838	5	0.00002418
0.375	0.005024	1	0.00002418
0.375	0.0055735	2	0.00002418
0.375	0.0024084	3	0.00002418
0.375	0.00363	4	0.00002418
0.375	0.0040353	5	0.00002418
1	0.0112086	1	0.00002418
1	0.0067265	2	0.00002418
1	0.0110675	3	0.00002418
1	0.0088345	4	0.00002418
1.01	0.0064845	1	0.00002418
1.01	0.0080999	2	0.00002418
1.01	0.0075107	3	0.00002418
1.01	0.0068492	4	0.00002418
1.01	0.0098243	5	0.00002418
1.958	0.0106342	1	0.00002418
1.958	0.0120462	2	0.00002418
1.958	0.0132046	3	0.00002418
1.958	0.0126312	4	0.00002418
1.958	0.0114175	5	0.00002418
2.01	0.0148761	1	0.00002418
2.01	0.0179006	2	0.00002418
2.01	0.0114813	3	0.00002418
2.01	0.0200612	4	0.00002418
2.01	0.0100795	5	0.00002418
2.125	0.0137526	1	0.00002418
2.125	0.0120318	2	0.00002418
2.125	0.0102833	3	0.00002418
2.125	0.0055845	4	0.00002418
2.125	0.0138618	5	0.00002418
2.184	0.0161123	1	0.00002418
2.184	0.0028517	2	0.00002418
2.184	0.0089035	3	0.00002418
2.184	0.0105236	4	0.00002418
2.323	0.0120287	1	0.00002418
2.323	0.0119542	2	0.00002418
2.323	0.0145146	3	0.00002418
2.323	0.0095766	4	0.00002418
2.323	0.0122977	5	0.00002418
2.348	0.0159401	1	0.00002418
2.348	0.0200368	2	0.00002418
2.348	0.0159781	3	0.00002418
2.348	0.0069145	4	0.00002418
2.348	0.0220347	5	0.00002418
2.969	0.0102686	1	0.00002418
2.969	0.0071766	2	0.00002418
2.969	0.0084077	3	0.00002418
2.969	0.0107391	4	0.00002418
2.969	0.0141691	5	0.00002418
2.99	0.0146724	1	0.00002418
2.99	0.0136099	2	0.00002418
2.99	0.0153488	3	0.00002418
2.99	0.0174606	4	0.00002418
2.99	0.0149815	5	0.00002418
3.979	0.0097622	1	0.00002418
3.979	0.0099824	2	0.00002418
3.979	0.0057795	3	0.00002418
3.979	0.0099899	4	0.00002418
3.979	0.0100417	5	0.00002418
3.99	0.0068717	1	0.00002418
3.99	0.0096236	2	0.00002418
3.99	0.0153306	3	0.00002418
3.99	0.009195	4	0.00002418
4.958	0.0137229	1	0.00002418
4.958	0.0117107	2	0.00002418
4.958	0.0086307	3	0.00002418
4.958	0.0072125	4	0.00002418
4.958	0.0093094	5	0.00002418
4.99	0.009231	1	0.00002418
4.99	0.0067294	2	0.00002418
4.99	0.016093	3	0.00002418
4.99	0.0017068	4	0.00002418
4.99	0.0069789	5	0.00002418
6.99	0.0112117	1	0.00002418
6.99	0.0124752	2	0.00002418
6.99	0.0092352	3	0.00002418
6.99	0.0063374	4	0.00002418
6.99	0.0090277	5	0.00002418
7.01	0.0047852	1	0.00002418
7.01	0.0078718	2	0.00002418
7.01	0.0073099	3	0.00002418
7.01	0.0055007	4	0.00002418
7.01	0.0082063	5	0.00002418
