time	conc	replicate	expw
0	0	1	0.00003290
0.146	0.0072862	1	0.00003290
0.146	0.0039371	2	0.00003290
0.146	0.001675	3	0.00003290
0.146	0.0012264	4	0.00003290
0.146	0	5	0.00003290
0.167	0.0040746	1	0.00003290
0.167	0.0021956	2	0.00003290
0.167	0.0043999	3	0.00003290
0.167	0.0023905	4	0.00003290
0.167	0.0027752	5	0.00003290
0.354	0.0040169	1	0.00003290
0.354	0.0056066	2	0.00003290
0.354	0.0028858	3	0.00003290
0.354	0.004893	4	0.00003290
0.354	0.0058343	5	0.00003290
0.375	0.0043394	1	0.00003290
0.375	0.0037035	2	0.00003290
0.375	0.004029	3	0.00003290
0.375	0.0034667	4	0.00003290
1	0.013492	1	0.00003290
1	0.0126579	2	0.00003290
1	0.0129486	3	0.00003290
1	0.0145263	4	0.00003290
1	0.0190946	5	0.00003290
1.063	0.0064546	1	0.00003290
1.063	0.0136425	2	0.00003290
1.063	0.0099751	3	0.00003290
1.063	0.0062456	4	0.00003290
1.063	0.0085979	5	0.00003290
2.021	0.0102662	1	0.00003290
2.021	0.0166011	2	0.00003290
2.021	0.0136259	3	0.00003290
2.021	0.013273	4	0.00003290
2.031	0.012866	1	0.00003290
2.031	0.0184733	2	0.00003290
2.031	0.020426	3	0.00003290
2.031	0.0175172	4	0.00003290
2.031	0.0225068	5	0.00003290
2.146	0.0218718	1	0.00003290
2.146	0.018385	2	0.00003290
2.146	0.0160389	3	0.00003290
2.146	0.0101971	4	0.00003290
2.146	0.0203118	5	0.00003290
2.177	0.0229171	1	0.00003290
2.177	0.0240527	2	0.00003290
2.177	0.0273243	3	0.00003290
2.177	0.0309444	4	0.00003290
2.177	0.0375508	5	0.00003290
2.333	0.0186282	1	0.00003290
2.333	0.0192677	2	0.00003290
2.333	0.0132139	3	0.00003290
2.333	0.0164531	4	0.00003290
2.333	0.0138368	5	0.00003290
2.344	0.014692	1	0.00003290
2.344	0.0172103	2	0.00003290
2.344	0.0153263	3	0.00003290
2.344	0.0239905	4	0.00003290
2.344	0.0197698	5	0.00003290
2.979	0.0096792	1	0.00003290
2.979	0.0103239	2	0.00003290
2.979	0.0127663	3	0.00003290
2.979	0.0127353	4	0.00003290
2.979	0.0189938	5	0.00003290
3.01	0.0094701	1	0.00003290
3.01	0.0163388	2	0.00003290
3.01	0.0144244	3	0.00003290
3.01	0.0121885	4	0.00003290
3.01	0.0118948	5	0.00003290
3.979	0.0179853	1	0.00003290
3.979	0.0236727	2	0.00003290
3.979	0.0145672	3	0.00003290
3.979	0.012605	4	0.00003290
3.979	0.0270934	5	0.00003290
4.031	0.0077846	1	0.00003290
4.031	0.0084658	2	0.00003290
4.031	0.0137942	3	0.00003290
4.031	0.0086365	4	0.00003290
4.031	0.0171301	5	0.00003290
4.979	0.00939	1	0.00003290
4.979	0.0085107	2	0.00003290
4.979	0.0182381	3	0.00003290
4.979	0.0079967	4	0.00003290
4.979	0.0182888	5	0.00003290
4.979	0.012723	6	0.00003290
4.979	0.0143766	7	0.00003290
4.979	0.0078655	8	0.00003290
4.979	0.0126099	9	0.00003290
4.979	0.0080086	10	0.00003290
7.01	0	1	0.00003290
7.01	0.0006225	2	0.00003290
7.01	0.0102256	3	0.00003290
7.01	0.0015661	4	0.00003290
7.01	0.0049324	5	0.00003290
7.031	0.0041361	1	0.00003290
7.031	0.0031392	2	0.00003290
7.031	0.0053428	3	0.00003290
7.031	0.0203743	4	0.00003290
7.031	0.0142183	5	0.00003290
