time	conc	replicate	expw
0	0	1	0.0000925
0.177	0.0084995	1	0.0000925
0.177	0.0081147	2	0.0000925
0.177	0.0099685	3	0.0000925
0.177	0.010867	4	0.0000925
0.177	0.0095685	5	0.0000925
0.344	0.0168416	1	0.0000925
0.344	0.0170449	2	0.0000925
0.344	0.0073452	3	0.0000925
0.344	0.0138335	4	0.0000925
0.344	0.0202388	5	0.0000925
1.063	0.0630029	1	0.0000925
1.063	0.0390242	2	0.0000925
1.063	0.0228183	3	0.0000925
1.063	0.0312041	4	0.0000925
1.063	0.0419378	5	0.0000925
2.031	0.060185	1	0.0000925
2.031	0.0755663	2	0.0000925
2.031	0.0218481	3	0.0000925
2.031	0.0326981	4	0.0000925
2.031	0.0543089	5	0.0000925
2.208	0.0654618	1	0.0000925
2.208	0.0650228	2	0.0000925
2.208	0.0364311	3	0.0000925
2.208	0.0516069	4	0.0000925
2.208	0.0669379	5	0.0000925
2.396	0.0422876	1	0.0000925
2.396	0.0760232	2	0.0000925
2.396	0.0575945	3	0.0000925
2.396	0.0481813	4	0.0000925
2.396	0.1260233	5	0.0000925
2.99	0.063086	1	0.0000925
2.99	0.0551461	2	0.0000925
2.99	0.040753	3	0.0000925
2.99	0.0612147	4	0.0000925
2.99	0.0419597	5	0.0000925
4.031	0.0481008	1	0.0000925
4.031	0.0858632	2	0.0000925
4.031	0.0540645	3	0.0000925
4.031	0.069813	4	0.0000925
4.031	0.0672771	5	0.0000925
5.115	0.0520025	1	0.0000925
5.115	0.0756122	2	0.0000925
5.115	0.0982775	3	0.0000925
5.115	0.0641746	4	0.0000925
5.115	0.0319081	5	0.0000925
7.031	0.0479342	1	0.0000925
7.031	0.0543089	2	0.0000925
7.031	0.0787121	3	0.0000925
7.031	0.0457175	4	0.0000925
