time;conc;concm1;expw;replicate
0;0;0;12.5;1
0.17;35.1077365033418;1.47549425373005;12.5;1
0.42;45.2263041994504;2.25550346405807;12.5;1
1;52.4340943320109;3.18995447880062;12.5;1
2;56.2750735143103;3.6494492696636;12.5;1
4;63.0195713140885;3.44985317322358;12.5;1
7;44.0739668431592;3.03905120750123;12.5;1
21;32.2762477345944;2.75940466433585;12.5;1
28;23.2496502296364;2.09689698155038;12.5;1
36;47.7707348551038;4.02493651972359;12.5;1
36.5;30.6784612638676;2.16031900646558;12.5;1
37;19.9808263029969;1.6513424573573;12.5;1
38;9.82434819121748;1.28948631657277;12.5;1
40;3.10254087727326;0;12.5;1
44;0;0;12.5;1
