time;conc;concm1;expw;replicate
0;0;0;1.12;1
0.17;15.1298054122999;2.12879385815308;1.12;1
0.42;18.7901600897525;2.98752248755523;1.12;1
1;22.445970517581;3.47100592696245;1.12;1
2;24.5325301971091;3.73096407970043;1.12;1
4;30.6374225904096;4.14632426391287;1.12;1
7;26.2237808906152;4.50665663307502;1.12;1
21;22.5710173845755;3.15819290968977;1.12;1
28;15.2988517685928;4.58239699338792;1.12;1
36;20.9983622050107;2.90567774688198;1.12;1
37;17.5783260138257;2.40554809994578;1.12;1
38;11.0845866756274;1.82211880039051;1.12;1
40;6.76059640064733;1.00557101627202;1.12;1
44;0;0;1.12;1
