time;conc;concm1;expw;replicate
0;0;0;0.10;1
0.17;2.51096923970922;3.06785819500106;0.10;1
0.42;2.48217749725954;5.04256303848711;0.10;1
1;2.41627409534344;5.79293748689909;0.10;1
2;2.45404316735862;6.62972581609383;0.10;1
4;2.68188146857235;6.86494539462254;0.10;1
7;2.45521786757851;6.53153271568811;0.10;1
21;2.63503899961185;8.76479702358361;0.10;1
28;1.75963571285236;5.31562600480753;0.10;1
36;2.21888951117353;6.54974898627991;0.10;1
36.5;1.84438777239137;3.07861148250452;0.10;1
37;1.48086633018347;2.03878051222511;0.10;1
38;1.43606810126014;1.34505080827971;0.10;1
40;1.0194549533972;1.03928024847989;0.10;1
44;0;0;0.10;1
