time;conc;expw;replicate
0;0;100;1
2;264.347826086956;100;1
2;290.434782608695;100;2
2;304.347826086956;100;3
4;756.521739130434;100;1
4;770.434782608695;100;2
4;782.608695652173;100;3
6;958.260869565217;100;1
6;970.434782608695;100;2
6;984.347826086956;100;3
21;1020.86956521739;100;1
21;1066.08695652173;100;2
21;1069.5652173913;100;3
24;982.608695652173;100;1
24;996.521739130434;100;2
24;1019.1304347826;100;3
48;1060.86956521739;100;1
48;1055.65217391304;100;2
48;1036.52173913043;100;3
51;523.478260869565;100;1
51;523.478260869565;100;2
51;516.521739130434;100;3
52;384.347826086956;100;1
52;375.652173913043;100;2
52;361.739130434782;100;3
54;5.21739130434775;100;1
54;3.47826086956524;100;2
54;3.47826086956524;100;3
72;10.4347826086957;100;1
72;1.7391304347825;100;2
72;1.7391304347825;100;3
0;0;500;1
2.2;1693.19826338639;500;1
2.2;1788.71201157742;500;2
2.2;1879.88422575976;500;3
4;916.063675832127;500;1
4;946.454413892909;500;2
4;981.186685962373;500;3
6.25;1541.24457308248;500;1
6.25;1597.68451519536;500;2
6.25;1697.53979739507;500;3
21.3;1402.31548480463;500;1
21.3;1445.73082489146;500;2
21.3;1510.8538350217;500;3
24.4;2344.42836468885;500;1
24.4;2370.47756874095;500;2
24.4;2400.86830680173;500;3
48;2153.4;500;1
52.2;620.839363241678;500;1
52.2;594.79015918958;500;2
52.2;642.547033285094;500;3
54;112.879884225759;500;1
54;112.879884225759;500;2
54;108.538350217077;500;3
72;286.541244573082;500;1
72;316.931982633863;500;2
72;347.322720694645;500;3
