time;conc;expw;replicate
0;0;10;1
2;971.248398289593;10;1
2;1177.13117468361;10;2
2;1353.6021258785;10;3
6;2208.04649947861;10;1
6;2531.57657666922;10;2
6;3031.57760505472;10;3
22;5537.40340889224;10;1
22;5684.46253488798;10;2
22;5743.28618528627;10;3
29;10334.1018800943;10;1
29;12775.2833716235;10;2
29;14304.6571465593;10;3
45;15487.1153581146;10;1
45;16340.0582888899;10;2
45;17810.6289811373;10;3
48;12988.2414402333;10;1
48;14958.7514577364;10;2
48;15605.8527475375;10;3
48;19105.8805139459;10;4
52;8342.50995991353;10;1
52;8548.45443943735;10;2
52;8813.11973080981;10;3
54;3490.29923961176;10;1
54;4372.63342787624;10;2
54;5460.85039253474;10;3
54;6137.32237211512;10;4
68;2054.30286775579;10;1
68;2113.12651815409;10;2
68;2260.20621185975;10;3
72;114.562144307168;10;1
72;202.756484484747;10;2
72;173.406362415389;10;3
0;0;1;1
2;72.8983146627665;1;1
2;92.3511617857263;1;2
2;116.667220689426;1;3
6;223.529900608317;1;1
6;233.256324169796;1;2
6;238.119535950537;1;3
22;830.946049263704;1;1
22;1044.92736761626;1;2
22;1246.75231858524;1;3
29;1402.16899910248;1;1
29;1404.59728085629;1;2
29;1409.45384436392;1;3
45;650.304158494831;1;1
45;771.887777149885;1;2
45;910.485988764418;1;3
48;711.002891998803;1;1
48;893.376657913107;1;2
48;1097.62656649935;1;3
50;402.129109463816;1;1
50;499.395007146893;1;2
50;557.753548515773;1;3
50;599.090848652063;1;4
50;781.466276634644;1;5
50;808.213941428714;1;6
54;411.732539972742;1;1
54;504.136887943356;1;2
54;584.37655818901;1;3
54;669.481102283682;1;4
54;739.997673104411;1;5
68;70.8838879101156;1;1
68;95.2032709503707;1;2
68;134.10896519629;1;3
72;12.407339693515;1;1
72;39.1550044875848;1;2
72;53.7429777615268;1;3
