time;conc;expw;replicate
0;0;1;1
2;79.8925470706663;1;1
2;79.8925470706663;1;2
2;102.652196283189;1;3
4;188.301448464652;1;1
4;199.681273070914;1;2
4;222.440922283437;1;3
6;308.073476262984;1;1
6;330.833125475507;1;2
6;347.902862384899;1;3
21;1448.18495763353;1;1
21;1584.75120200962;1;2
21;1618.89067582841;1;3
24;1767.27924716156;1;1
24;1858.31784401165;1;2
24;2085.92268523785;1;3
45;3044.78353390309;1;1
45;3158.55673266283;1;2
45;3192.71290468353;1;3
48;3614.19221926408;1;1
48;3693.82594420504;1;2
48;3739.361940832;1;3
52;3159.60037028262;1;1
52;3131.15080876697;1;2
52;3313.21130426524;1;3
54;2818.43940692161;1;1
54;2943.60912848953;1;2
54;2994.81833921771;1;3
69;1796.39256220341;1;1
69;1881.74124675037;1;2
69;2075.22331235969;1;3
72;1745.62585382602;1;1
72;1808.21488916046;1;2
72;1887.88201050525;1;3
