time	conc	expw	replicate
0.0	0.0	0.536	1
0.0	0.0	0.536	2
0.8	193.9	0.536	1
1.2	121.2	0.536	1
2.1	184.2	0.536	1
2.2	246.5	0.536	1
3.1	268.0	0.536	1
3.4	199.3	0.536	1
4.8	272.7	0.536	1
4.8	228.8	0.536	2
6.4	274.5	0.536	1
6.4	325.9	0.536	2
7.5	171.4	0.536	1
7.5	206.0	0.536	2
7.5	173.1	0.536	3
8.6	159.8	0.536	1
9.7	191.0	0.536	1
9.9	103.2	0.536	1
12.3	134.5	0.536	1
12.8	113.9	0.536	1
20.9	103.6	0.536	1
22.7	98.5	0.536	1
29.2	92.5	0.536	1
30.8	99.9	0.536	1
51.4	69.8	0.536	1
51.7	61.8	0.536	1
