time	conc	expf	replicate
0	0.0062111801242238	59.745	1
0.5	0.142857142857143	59.745	1
0.5	0.173913043478261	59.745	2
0.5	0.167701863354037	59.745	3
2	0.24223602484472	59.745	1
2	0.291925465838509	59.745	2
2	0.354037267080745	59.745	3
5	0.341614906832298	59.745	1
5	0.378881987577639	59.745	2
5	0.39751552795031	59.745	3
10	0.559006211180124	59.745	1
10	0.627329192546584	59.745	2
10	0.683229813664596	59.745	3
24	0.751552795031055	59.745	1
24	0.900621118012422	59.745	2
24	0.608695652173913	59.745	3
26	0.46583850931677	59.745	1
26	0.347826086956521	59.745	2
26	0.316770186335403	59.745	3
29	0.236024844720496	59.745	1
29	0.192546583850931	59.745	2
29	0.167701863354037	59.745	3
34	0.136645962732919	59.745	1
34	0.0931677018633543	59.745	2
48	0.0559006211180126	59.745	1
48	0.0434782608695652	59.745	2
72	0.0062111801242238	59.745	1
