time	conc	expw	replicate
0	0.0062111801242238	0.000487	1
0.5	0.118012422360248	0.000487	1
0.5	0.142857142857143	0.000487	2
0.5	0.167701863354037	0.000487	3
2	0.198757763975155	0.000487	1
2	0.291925465838509	0.000487	2
5	0.229813664596273	0.000487	1
5	0.304347826086956	0.000487	2
5	0.341614906832298	0.000487	3
10	0.329192546583851	0.000487	1
10	0.267080745341615	0.000487	2
24	0.366459627329192	0.000487	1
24	0.316770186335403	0.000487	2
24	0.229813664596273	0.000487	3
26	0.136645962732919	0.000487	1
26	0.0683229813664597	0.000487	2
26	0.0869565217391305	0.000487	3
29	0.0993788819875778	0.000487	1
29	0.0310559006211181	0.000487	2
34	0.0248447204968947	0.000487	1
34	0.0621118012422362	0.000487	2
48	0.0310559006211181	0.000487	1
48	0	0.000487	2
72	0.0062111801242238	0.000487	1
