time	conc	expf	replicate
0	0	59.745	1
0.5	0.93280212961131	59.745	1
0.5	1.02426389913124	59.745	2
2	1.09710955627102	59.745	1
2	2.0117272514704	59.745	2
2	2.32269726783819	59.745	3
5	2.23048006187384	59.745	1
5	2.50481141068762	59.745	2
5	1.24263899131248	59.745	3
10	2.75960933143874	59.745	1
10	2.57668579239887	59.745	2
10	2.00962282137525	59.745	3
24	2.88398654603665	59.745	1
24	2.60960123747684	59.745	2
24	1.8778531215713	59.745	3
26	1.10908861988956	59.745	1
26	0.981096102307678	59.745	2
26	0.907872726945698	59.745	3
29	0.833893915139306	59.745	1
29	0.541216252675503	59.745	2
29	0.41316977534759	59.745	3
34	0.0826123711711061	59.745	1
34	0.137489432883069	59.745	2
48	0.0240660467291395	59.745	1
48	0.0241200064751692	59.745	2
72	0	59.745	1
