time	conc	replicate	expw
0	0	1	0.0000747
0.188	0.000699437181	1	0.0000747
0.188	0.000684156463	2	0.0000747
0.188	0.000463131571	3	0.0000747
0.188	0.00754635771	4	0.0000747
0.188	0.008770564059	5	0.0000747
0.375	0.01030207119	1	0.0000747
0.375	0.01483803678	2	0.0000747
0.375	0.005557646987	3	0.0000747
0.375	0.01516641764	4	0.0000747
0.375	0.009202534014	5	0.0000747
1.125	0.01589063563	1	0.0000747
1.125	0.0180249811	2	0.0000747
1.125	0.02472459609	3	0.0000747
1.125	0.02362468416	4	0.0000747
1.125	0.01955931973	5	0.0000747
2.042	0.02560668048	1	0.0000747
2.042	0.02881840042	2	0.0000747
2.042	0.0370095068	3	0.0000747
2.042	0.01280170068	4	0.0000747
2.042	0.02731229349	5	0.0000747
2.208	0.02140029289	1	0.0000747
2.208	0.02298010204	2	0.0000747
2.208	0.01915758017	3	0.0000747
2.208	0.02500441468	4	0.0000747
2.208	0.03527288265	5	0.0000747
2.354	0.014474054	1	0.0000747
2.354	0.02202259779	2	0.0000747
2.354	0.02817948129	3	0.0000747
2.354	0.0161857568	4	0.0000747
2.354	0.02646471797	5	0.0000747
3.031	0.01539220876	1	0.0000747
3.031	0.01592717444	2	0.0000747
3.031	0.01532006803	3	0.0000747
3.031	0.01560863095	4	0.0000747
4.031	0.01431009779	1	0.0000747
4.031	0.01307452381	2	0.0000747
4.031	0.005205375364	3	0.0000747
4.031	0.002610182823	4	0.0000747
4.031	0.009661236638	5	0.0000747
5.031	0.001038826531	1	0.0000747
5.031	0.004254991497	2	0.0000747
5.031	0.01980590986	3	0.0000747
5.031	0.007863339711	4	0.0000747
7.042	0.001396906888	1	0.0000747
7.042	0.005613860544	2	0.0000747
7.042	0.00237845805	3	0.0000747
7.042	0.003134842687	4	0.0000747
