time;conc;expw;replicate
0;0;0.168;1
1;15.87015372;0.168;1
1;14.66000303;0.168;2
2;31.06968423;0.168;1
2;43.43527563;0.168;2
4;50.98108814;0.168;1
4;55.81885128;0.168;2
6;57.31816977;0.168;1
6;74.52247085;0.168;2
9;61.78110329;0.168;1
9;75.35684537;0.168;2
12;78.75302893;0.168;1
12;102.9456308;0.168;2
16;73.2820309;0.168;1
16;78.79278358;0.168;2
18.5;75.58874754;0.168;1
18.5;78.14393079;0.168;2
21;76.82208844;0.168;1
21;93.62316371;0.168;2
21;67.4040209;0.168;3
21;63.38122823;0.168;4
21;59.74273058;0.168;5
21;43.35481978;0.168;6
23;30.20596698;0.168;1
23;33.0290209;0.168;2
27;13.4441731;0.168;1
27;16.26580721;0.168;2
31;10.12039982;0.168;1
31;8.507496592;0.168;2
43;0.296266848;0.168;1
43;2.178460548;0.168;2
