time	conc	expf	replicate
0	0	35.843	1
0.5	0.0645962732919255	35.843	1
0.5	0.0720496894409938	35.843	2
0.5	0.084472049689441	35.843	3
2	0.0993788819875777	35.843	1
2	0.116770186335403	35.843	2
2	0.149068322981366	35.843	3
5	0.144099378881987	35.843	1
5	0.159006211180124	35.843	2
5	0.166459627329192	35.843	3
10	0.201242236024844	35.843	1
10	0.250931677018633	35.843	2
10	0.255900621118012	35.843	3
24	0.367701863354037	35.843	1
24	0.236024844720496	35.843	2
26	0.141614906832298	35.843	1
26	0.111801242236024	35.843	2
26	0.0968944099378882	35.843	3
29	0.0645962732919255	35.843	1
29	0.0472049689440993	35.843	2
29	0.0372670807453416	35.843	3
34	0.0223602484472049	35.843	1
34	0.0198757763975156	35.843	2
48	0.0124223602484472	35.843	1
48	0.00745341614906834	35.843	2
72	0.00745341614906834	35.843	1
72	0.00248447204968948	35.843	2
