time	conc	expw	replicate
0	0.0149068322981366	0.000493	1
0.5	0.0422360248447205	0.000493	1
0.5	0.0521739130434783	0.000493	2
2	0.0745341614906832	0.000493	1
2	0.0919254658385093	0.000493	2
5	0.106832298136646	0.000493	1
5	0.0670807453416149	0.000493	2
5	0.17639751552795	0.000493	3
10	0.0919254658385093	0.000493	1
10	0.0944099378881987	0.000493	2
10	0.111801242236024	0.000493	3
24	0.151552795031055	0.000493	1
24	0.134161490683229	0.000493	2
26	0.0571428571428571	0.000493	1
26	0.04472049689441	0.000493	2
26	0.0422360248447205	0.000493	3
29	0.0372670807453416	0.000493	1
29	0.0248447204968944	0.000493	2
29	0.0223602484472049	0.000493	3
34	0.0223602484472049	0.000493	1
34	0.0173913043478261	0.000493	2
48	0.00248447204968948	0.000493	1
48	0	0.000493	2
