time	conc	expf	replicate
0	0	35.843	1
0.5	0.337278733703141	35.843	1
0.5	0.397519697558562	35.843	2
0.5	0.493905239727237	35.843	3
2	0.746669964314737	35.843	1
2	0.806910928170158	35.843	2
2	0.939441048652086	35.843	3
5	1.4208387803413	35.843	1
5	1.48107974419672	35.843	2
5	1.62565805744974	35.843	3
10	1.96215948839345	35.843	1
10	1.64887114440165	35.843	2
10	1.4561000600643	35.843	3
24	1.86337137405928	35.843	1
24	1.38144366321591	35.843	2
24	1.23679468607568	35.843	3
26	0.85093452990849	35.843	1
26	0.441295975691622	35.843	2
26	0.417199590149454	35.843	3
29	0.296223015228067	35.843	1
29	0.151609370031445	35.843	2
34	0.0784722467582942	35.843	1
34	0.0303148076175675	35.843	2
48	0.0037805179662937	35.843	1
72	0	35.843	1
