time	conc	expw	replicate
0	0.0240963855421687	0.000493	1
0.5	0.108363071052538	0.000493	1
0.5	0.204748613221213	0.000493	2
2	0.288803307069922	0.000493	1
2	0.39723704200968	0.000493	2
5	0.324453238172631	0.000493	1
5	0.420838780341306	0.000493	2
5	0.493127936967812	0.000493	3
10	0.516376355863336	0.000493	1
10	0.672967529943822	0.000493	2
24	0.682648482493022	0.000493	1
24	0.754937639119528	0.000493	2
26	0.248524891354273	0.000493	1
26	0.224428505812104	0.000493	2
26	0.176235734727767	0.000493	3
29	0.16372822668975	0.000493	1
29	0.199837473059393	0.000493	2
34	0.138713210613716	0.000493	1
34	0.114616825071547	0.000493	2
48	0.0157933787937672	0.000493	1
