time;conc;expw;replicate
0;0.422965723232493;0.24;1
3;213.044765201202;0.24;1
3;224.066590192656;0.24;2
3;233.251843000385;0.24;3
12;257.570179521243;0.24;1
12;265.376906908672;0.24;2
12;273.643674300447;0.24;3
24;259.836494447329;0.24;1
24;278.207000062787;0.24;2
24;296.577107030061;0.24;3
48;298.356273875288;0.24;1
48;292.845361379561;0.24;2
48;306.622642618879;0.24;3
72;305.645954568059;0.24;1
72;323.55721747554;0.24;2
72;341.008839026859;0.24;3
90;265.648784970166;0.24;1
90;288.611319017212;0.24;2
90;309.276842228004;0.24;3
93;33.2655963627339;0.24;1
93;36.9395380265519;0.24;2
93;26.8365970992364;0.24;3
108;0;0.24;1
108;1.54157252755896;0.24;2
108;0;0.24;3
116;0;0.24;1
116;2.44132147886512;0.24;2
116;0;0.24;3
138;0;0.24;1
138;1.01097179464431;0.24;2
138;0;0.24;3
162;0;0.24;1
162;1.4140051086764;0.24;2
162;0;0.24;3
186;0;0.24;1
186;1.35500517744321;0.24;2
186;0;0.24;3
