time	conc	replicate	expf
0	0.0115384615384615	1	49.196
0.5	0.0894433911159263	1	49.196
0.5	0.106757854821235	2	49.196
0.5	0.126943391115926	3	49.196
2	0.161619718309859	1	49.196
2	0.187581256771397	2	49.196
2	0.227972643553629	3	49.196
5	0.245402221018418	1	49.196
5	0.256940682556879	2	49.196
5	0.282902221018418	3	49.196
10	0.381182286023835	1	49.196
10	0.447528439869989	2	49.196
10	0.479265980498374	3	49.196
24	0.537533856988082	1	49.196
24	0.537533856988082	2	49.196
24	0.425027085590465	3	49.196
26	0.344352654387865	1	49.196
26	0.257814192849404	2	49.196
29	0.162736998916576	1	49.196
29	0.148313921993499	2	49.196
29	0.102153304442036	3	49.196
34	0.0908315276273023	1	49.196
34	0.0821776814734561	2	49.196
34	0.0504469122426869	3	49.196
48	0.0279523293607801	1	49.196
48	0.0164070964247021	2	49.196
72	0.0174024918743228	1	49.196
72	0.00587080173347783	2	49.196
