time	conc	expw	replicate
0.0	0.0	0.000549	1
0.2	0.00866061755146267	0.000549	1
0.5	0.0432895449620801	0.000549	1
0.5	0.0750203141928494	0.000549	2
2.0	0.121235102925243	0.000549	1
2.0	0.13565817984832	0.000549	2
5.0	0.176171451787648	0.000549	1
5.0	0.199248374864572	0.000549	2
10.0	0.170598591549295	0.000549	1
10.0	0.19656690140845	0.000549	2
10.0	0.260028439869989	0.000549	3
24.0	0.292341549295774	0.000549	1
24.0	0.231757854821235	0.000549	2
24.0	0.194257854821235	0.000549	3
26.0	0.162608342361863	0.000549	1
26.0	0.136646803900324	0.000549	2
29.0	0.0646600758396533	0.000549	1
29.0	0.0675446912242687	0.000549	2
34.2	0.0244853737811483	0.000549	1
34.2	0.0216007583965331	0.000549	2
48.0	0.0	0.000549	1
48.0	0.0	0.000549	2
