time	conc	expf	replicate
0	0	49.196	1
0.5	0.560892840940023	49.196	1
0.5	0.695036748026494	49.196	2
2	0.999618909354867	49.196	1
2	1.40205063061428	49.196	2
5	1.37715270846565	49.196	1
5	1.63324562199437	49.196	2
5	1.93811813809999	49.196	3
10	1.9616368750567	49.196	1
10	1.44945104799927	49.196	2
10	1.02259323110425	49.196	3
24	1.84941475365211	49.196	1
24	1.42259323110425	49.196	2
26	1.01979856637328	49.196	1
26	0.824680156065692	49.196	2
26	0.727157245259051	49.196	3
29	0.580274022321023	49.196	1
29	0.385155612013428	49.196	2
29	0.299791307503856	49.196	3
34	0.116033027855911	49.196	1
34	0.0550585246347877	49.196	2
48	0.0525905090282185	49.196	1
48	0.0160058070955449	49.196	2
72	0	49.196	1
72	0	49.196	2
