time	conc	expf	replicate
0	0	37.884	1
0.5	0.0883435582822086	37.884	1
0.5	0.106748466257668	37.884	2
0.5	0.117791411042944	37.884	3
2	0.169325153374233	37.884	1
2	0.220858895705521	37.884	2
5	0.265030674846625	37.884	1
5	0.38282208588957	37.884	2
10	0.412269938650306	37.884	1
10	0.338650306748466	37.884	2
24	0.552147239263803	37.884	1
24	0.434355828220858	37.884	2
26	0.316564417177914	37.884	1
26	0.246625766871165	37.884	2
26	0.220858895705521	37.884	3
29	0.169325153374233	37.884	1
29	0.117791411042944	37.884	2
29	0.106748466257668	37.884	3
34	0.0736196319018405	37.884	1
34	0.0588957055214724	37.884	2
34	0.0515337423312884	37.884	3
48	0.0404907975460123	37.884	1
48	0.0220858895705521	37.884	2
48	0.00736196319018404	37.884	3
72	0.014723926380368	37.884	1
72	0.00736196319018404	37.884	2
