time	conc	expw	replicate
0	0	0.000475	1
0	0.014723926380368	0.000475	2
0.5	0.0662576687116564	0.000475	1
0.5	0.0957055214723926	0.000475	2
2	0.121472392638036	0.000475	1
2	0.176687116564417	0.000475	2
5	0.121472392638036	0.000475	1
5	0.213496932515337	0.000475	2
5	0.320245398773006	0.000475	3
10	0.224539877300613	0.000475	1
10	0.184049079754601	0.000475	2
10	0.176687116564417	0.000475	3
24	0.323926380368098	0.000475	1
24	0.301840490797546	0.000475	2
24	0.265030674846625	0.000475	3
26	0.117791411042944	0.000475	1
26	0.0957055214723926	0.000475	2
26	0.0773006134969325	0.000475	3
29	0.0515337423312884	0.000475	1
29	0.0441717791411043	0.000475	2
29	0.0294478527607361	0.000475	3
34	0.0368098159509203	0.000475	1
34	0.014723926380368	0.000475	2
34	0.0257668711656442	0.000475	3
48	0.0294478527607361	0.000475	1
48	0	0.000475	2
72	0	0.000475	1
