time	conc	expf	replicate
0	0.023952095808384	37.884	1
0.5	0.59880239520958	37.884	1
0.5	0.59880239520958	37.884	2
2	1.26946107784431	37.884	1
2	1.55688622754491	37.884	2
5	2.2754491017964	37.884	1
5	2.39520958083832	37.884	2
5	2.51497005988023	37.884	3
10	2.39520958083832	37.884	1
10	2.75449101796407	37.884	2
10	3.1377245508982	37.884	3
24	3.18562874251497	37.884	1
24	2.73053892215568	37.884	2
24	2.34730538922155	37.884	3
26	2.08383233532934	37.884	1
26	1.70059880239521	37.884	2
26	1.65269461077844	37.884	3
29	1.00598802395209	37.884	1
29	0.574850299401197	37.884	2
29	0.455089820359281	37.884	3
34	0.263473053892215	37.884	1
34	0.0718562874251501	37.884	2
34	0.0958083832335341	37.884	3
48	0.047904191616767	37.884	1
48	0.023952095808384	37.884	2
72	0	37.884	1
