time	conc	expw	replicate
0	0	0.000475	1
0.5	0.167664670658682	0.000475	1
0.5	0.215568862275449	0.000475	2
2	0.335329341317366	0.000475	1
2	0.407185628742515	0.000475	2
5	0.670658682634731	0.000475	1
5	0.766467065868264	0.000475	2
5	0.838323353293413	0.000475	3
10	0.982035928143712	0.000475	1
10	1.12574850299401	0.000475	2
24	1.29341317365269	0.000475	1
24	1.07784431137724	0.000475	2
24	0.81437125748503	0.000475	3
26	0.526946107784431	0.000475	1
26	0.502994011976048	0.000475	2
29	0.167664670658682	0.000475	1
29	0.215568862275449	0.000475	2
34	0.023952095808384	0.000475	1
34	0.0718562874251501	0.000475	2
