time	conc	expw	replicate
0	0.709219858156075	0.0067	A
0.04	19.1489361702128	0.0067	A
0.08	20.5673758865248	0.0067	A
0.126	25.531914893617	0.0067	A
0.247	34.7517730496454	0.0067	A
1	36.8794326241135	0.0067	A
2	35.4609929078014	0.0067	A
0	0.709219858156075	0.045	B
0.04	52.4822695035461	0.045	B
0.08	55.3191489361702	0.045	B
0.126	61.7021276595745	0.045	B
0.247	101.418439716312	0.045	B
1	160.992907801418	0.045	B
2	183.687943262411	0.045	B
0	1.41843971631215	0.094	C
0.04	73.0496453900709	0.094	C
0.08	72.3404255319149	0.094	C
0.126	98.5815602836879	0.094	C
0.247	133.333333333333	0.094	C
1	241.134751773049	0.094	C
2	314.18439716312	0.094	C
0	1.41843971631215	0.194	D
0.04	129.787234042553	0.194	D
0.08	149.645390070922	0.194	D
0.126	195.744680851063	0.194	D
0.247	190.780141843971	0.194	D
1	313.475177304964	0.194	D
2	352.482269503546	0.194	D
