time;conc;exps;replicate
0;0;5;1
0.5;1.58536585365853;5;1
0.5;1.34146341463414;5;2
0.5;2.3170731707317;5;3
1;2.89634146341463;5;1
1;3.5670731707317;5;2
3;9.29878048780487;5;1
5;9.48170731707317;5;1
5;12.530487804878;5;2
5;13.5365853658536;5;3
7;15.6097560975609;5;1
7;13.4146341463414;5;2
7;11.7682926829268;5;3
10;13.9024390243902;5;1
10;12.4695121951219;5;2
10;12.3780487804878;5;3
14;16.4939024390243;5;1
14;15.3963414634146;5;2
14;14.6341463414634;5;3
18;12.1646341463414;5;1
18;11.3414634146341;5;2
18;9.8170731707317;5;3
21;11.7987804878048;5;1
21;10.640243902439;5;2
21;10.1219512195121;5;3
