time	expw	replicate	conc
0	0.043	1	0
2	0.043	1	0
3	0.043	1	1.12
5	0.043	1	4.14
7	0.043	1	2.02
10	0.043	1	3.06
0	0.091	2	0
2	0.091	2	3.22
3	0.091	2	3.33
5	0.091	2	5.62
7	0.091	2	5.32
10	0.091	2	21.3
0	0.212	3	0
2	0.212	3	13.9
3	0.212	3	22.4
5	0.212	3	23.1
7	0.212	3	58.7
10	0.212	3	39.3
0	0.616	4	0
2	0.616	4	10.7
3	0.616	4	40.2
5	0.616	4	48.5
7	0.616	4	46.8
10	0.616	4	73.1
0	3.48	5	0
2	3.48	5	26.1
3	3.48	5	48.2
5	3.48	5	58.2
7	3.48	5	65
10	3.48	5	99.5
0	9.57	6	0
2	9.57	6	56.2
3	9.57	6	66.2
7	9.57	6	83.4
10	9.57	6	125
