time	conc	expw	replicate
0	2.54372866894186	0.00	A
1	2.19976535836167	0.00	A
2	9.49498720136512	0.00	A
4	6.19933873720128	0.00	A
7.0	10.2389078498295	0.00	A
10	14.2624786689418	0.00	A
14	5.12745307167233	0.00	A
0	2.5677261092153	56.8	B
1	22.6695819112628	56.8	B
2	42.7714377133104	56.8	B
4	65.0810580204777	56.8	B
7.0	84.4709897610919	56.8	B
10	85.9268344709896	56.8	B
14	112.63598549488	56.8	B
0	2.5437	113	C
1	84.103	113	C
2	91.3982508532421	113	C
4	136.745413822525	113	C
7.0	161.262798634812	113	C
10	201.122546928327	113	C
14	227.815699658702	113	C
0	0.00799914675758373	174	D
1	250.477282423207	174	D
2	206.59396331058	174	D
4	308.247120307167	174	D
6.99999999999999	381.391318259385	174	D
10	362.369347269624	174	D
14	391.64622440273	174	D
0	5.11945392491452	229	E
1	240.254372866894	229	E
2	285.945499146757	229	E
4	546.301727815699	229	E
7.0	716.723549488054	229	E
10	823.13619880546	229	E
14	929.196885665528	229	E
0	5.1274530716721	295	F
1	593.496693686006	295	F
2	910.518877986348	295	F
4	1024.97066979522	295	F
7.0	1187.70531143344	295	F
10	1212.22269624573	295	F
