time	conc	expw	replicate
0	0	0.00	A
1	0.297567113323339	0.00	A
2	0	0.00	A
4	1.16547119385018	0.00	A
7	1.96724924919408	0.00	A
10	0	0.00	A
14	0.0413287657395358	0.00	A
0	0	49.9	B
1	136.599836521771	49.9	B
2	96.8167666210517	49.9	B
4	145.493786908883	49.9	B
7	206.486779387048	49.9	B
10	287.524223248808	49.9	B
14	328.753799950405	49.9	B
0	0	101	C
1	248.857030023052	101	C
2	197.047289292175	101	C
4	277.787166040612	101	C
7	426.975744606596	101	C
10	427.843648687122	101	C
14	348.814782840296	101	C
0	0	224	D
1	385.167565184647	224	D
2	485.662591956503	224	D
4	606.507902978426	224	D
7	819.846991725062	224	D
10	860.787267066484	224	D
14	705.597751715143	224	D
0	0	329	E
1	790.048951626975	329	E
2	866.515433997961	329	E
4	1067.54681630741	329	E
7	1208.69281706051	329	E
10	1349.8718808262	329	E
14	1375.06589642092	329	E
0	4.02542178301473	457	F
1	1283.14245566341	457	F
2	1319.52003526721	457	F
4	1452.38375136614	457	F
7	1669.72346463635	457	F
