time	conc	expw	replicate
0	0	0.00	A
1	0	0.00	A
2	0	0.00	A
4	0	0.00	A
7	0	0.00	A
10	4.17633410672851	0.00	A
14	4.17633410672851	0.00	A
0	0	44.2	B
1	16.705336426914	44.2	B
2	16.705336426914	44.2	B
4	33.4106728538281	44.2	B
7	50.1160092807424	44.2	B
10	79.3503480278423	44.2	B
14	83.5266821345705	44.2	B
0	0	90.0	C
1	50.1160092807424	90.0	C
2	62.645011600928	90.0	C
4	70.9976798143852	90.0	C
7	146.171693735498	90.0	C
10	171.22969837587	90.0	C
14	179.582366589327	90.0	C
0	0	201	D
1	112.76102088167	201	D
2	154.524361948955	201	D
4	204.640371229698	201	D
7	350.812064965197	201	D
10	400.928074245939	201	D
14	559.628770301624	201	D
0	0	280	E
1	530.394431554524	280	E
2	1090.02320185614	280	E
4	626.45011600928	280	E
7	634.802784222737	280	E
10	739.211136890951	280	E
14	780.974477958236	280	E
0	0	379	F
1	785.150812064965	379	F
2	1181.90255220417	379	F
4	1240.37122969837	379	F
7	1365.66125290023	379	F
10	1461.71693735498	379	F
14	1303.0162412993	379	F
