time;conc;expf;replicate
0;0;0.085;1
11;2.53680831246627;0.085;1
18;4.73639583225964;0.085;1
25;4.13598986019313;0.085;1
31;6.22462435282495;0.085;1
39;7.81430376548066;0.085;1
46;9.6990930142692;0.085;1
52;9.16863242513292;0.085;1
60;10.6311084246827;0.085;1
67;11.6474858100778;0.085;1
74;14.4561493623068;0.085;1
81;18.7753350552593;0.085;1
88;15.3158859185972;0.085;1
95;13.5263091220526;0.085;1
102;22.8042015158231;0.085;1
109;19.6879201302095;0.085;1
116;18.1945558256104;0.085;1
122;22.0754557204582;0.085;1
130;20.6346830815733;0.085;1
137;17.0246557278518;0.085;1
172;15.2394656592074;0.085;1
181;16.6991657375275;0.085;1
191;12.3034360249177;0.085;1
206;11.9049463449871;0.085;1
215;11.00400181233;0.085;1
231;11.0171890383384;0.085;1
