time	expw	replicate	conc	concm1	concm2
0	25.751	1	0	0	0
0.207	25.751	1	1347	4465.115	2192.596
0.208	25.751	2	1056.776	4330.361	1310.86
0.374	25.751	1	717.337	5367.553	855.33
0.375	25.751	2	1233.764	6724.602	1271.724
0.978	25.751	1	992.22	11163.888	1229.015
0.979	25.751	2	913.914	14286.411	1349.039
1.22	25.751	1	703.712	11878	447.048
1.221	25.751	2	618.738	12560.599	517.067
1.53	25.751	1	987.172	4892.535	750.678
1.531	25.751	2	1027.256	8757.694	597.092
2.012	25.751	1	587.196	10034.38	382.206
2.013	25.751	2	1107.821	9484.089	772.488
2.916	25.751	1	892.644	6350.16	786.009
2.917	25.751	2	474.939	7038.674	430.744
4.999	25.751	1	446.896	5064.21	230.655
5	25.751	2	797.022	6075.388	715.918
6.124	25.751	1	1197.583	10686.049	1114.67
6.125	25.751	2	826.062	4326.083	444.558
