time	conc	concm1	expw	replicate	concm2
0	0	0	5760.092	1	0
0.207	112736	31981	5760.092	1	23635
0.208	123750	28377	5760.092	2	28811
0.477	278168	80336	5760.092	1	61027
0.478	147531	60408	5760.092	2	35465
0.999	81808	93916	5760.092	1	63835
1	101785	83874	5760.092	2	49843
1.207	28429	111882	5760.092	1	65270
1.208	6033	99091	5760.092	2	58620
1.537	5276	87748	5760.092	1	44710
1.538	6254	80215	5760.092	2	61507
1.999	5626	84984	5760.092	1	17211
2	3968	84126	5760.092	2	28358
2.999	3856	35542	5760.092	1	15626
3	3554	58915	5760.092	2	23146
