time;expw;conc;concm1;concm2;concm3;replicate
0;3897.655;0;0;0;0;1
0.207;3897.655;13257.141;3834.871;175087.695;210778.114;1
0.208;3897.655;19036.69;5456.347;199556.582;218273.08;2
0.454;3897.655;20846.744;3490.458;179336.56;222049.732;1
0.455;3897.655;17279.613;7502.54;152520.09;267001.215;2
0.999;3897.655;24836.707;11190.487;110057.355;204352.74;1
1;3897.655;27225.424;12154.236;108061.795;238780.245;2
1.207;3897.655;8546.429;12804.707;134106.909;221724.66;1
1.208;3897.655;10411.537;10297.341;109495.738;229553.967;2
1.52;3897.655;7802.3;19186.986;47509.107;105828.48;1
1.521;3897.655;9325.201;18048.78;81468.957;91754.609;2
1.999;3897.655;6683.367;10604.818;39868.647;65929.957;1
2;3897.655;5612.04;12444.118;51147.923;69491.12;2
2.999;3897.655;4299.283;6151.295;34754.596;48724.714;1
3;3897.655;3708.197;6469.117;41355.304;23310.724;2
