time;conc;replicate;expw
0;0;1;0.0025
0;0.11952764976958;2;0.0025
1;2.7201283739302;1;0.0025
1;2.8353357472021;2;0.0025
1;3.23856155365371;3;0.0025
1;3.75699473337721;4;0.0025
1;3.75699473337721;5;0.0025
1;4.16022053982883;6;0.0025
1;4.62105003291638;7;0.0025
1;5.88833113890716;8;0.0025
1;6.29155694535878;9;0.0025
1;9.17174127715602;10;0.0025
2;5.6085418038183;1;0.0025
2;6.29958031599736;2;0.0025
2;6.8756171823568;3;0.0025
2;6.93322086899275;4;0.0025
2;7.2210335747202;5;0.0025
2;7.68186306780776;6;0.0025
2;8.20050197498353;7;0.0025
2;8.31570934825542;8;0.0025
2;9.41017939433837;9;0.0025
2;9.92861257406188;10;0.0025
2;10.1590273206056;11;0.0025
2;10.3318383805134;12;0.0025
2;11.829534233048;13;0.0025
4;7.58331961816984;1;0.0025
4;8.2743581303489;2;0.0025
4;9.42684331797234;3;0.0025
4;11.3275592495062;4;0.0025
4;12.8828587886767;5;0.0025
4;13.4012919684002;6;0.0025
4;13.6893104015799;7;0.0025
4;14.2653472679394;8;0.0025
4;14.9565915075707;9;0.0025
4;16.8573074391046;10;0.0025
4;17.5489631336405;11;0.0025
4;17.7793778801843;12;0.0025
4;18.5858294930875;13;0.0025
7;9.10590849242922;1;0.0025
7;13.4835829493087;2;0.0025
7;17.343029953917;3;0.0025
7;18.2070852534562;4;0.0025
7;18.6103110599078;5;0.0025
7;18.7831221198156;6;0.0025
7;20.7414417379855;7;0.0025
7;20.9718564845292;8;0.0025
7;21.8359117840684;9;0.0025
7;23.1607965766951;10;0.0025
7;23.333607636603;11;0.0025
7;24.312870309414;12;0.0025
7;24.6584924292297;13;0.0025
7;26.0987903225806;15;0.0025
7;28.1725230414746;16;0.0025
9;7.2210335747202;1;0.0025
9;8.77633311389071;2;0.0025
9;9.12195523370638;3;0.0025
9;9.46757735352205;4;0.0025
9;9.9284068466096;5;0.0025
9;11.0228768926925;6;0.0025
9;10.9652732060566;7;0.0025
9;11.4261026991441;8;0.0025
9;11.8293285055957;9;0.0025
9;12.0021395655036;10;0.0025
9;13.0390059249506;11;0.0025
9;14.0184743252139;12;0.0025
9;14.4219058591178;13;0.0025
9;17.9353192890059;15;0.0025
11;2.05315997366688;1;0.0025
11;2.51378373930216;2;0.0025
11;3.09023206056615;3;0.0025
11;4.7031352863726;4;0.0025
11;5.10636109282421;5;0.0025
11;6.14302172481895;6;0.0025
11;6.66166063199473;7;0.0025
11;7.410508558262;8;0.0025
11;7.64092330480578;9;0.0025
11;8.33216754443712;10;0.0025
11;9.65705233706385;11;0.0025
11;11.2699555628703;12;0.0025
11;11.4427666227781;13;0.0025
11;14.8989878209348;15;0.0025
14;3.40252633311388;1;0.0025
14;3.86335582620144;2;0.0025
14;4.03596115865701;3;0.0025
14;5.18865207373271;4;0.0025
14;5.8222926267281;5;0.0025
14;6.57114055299538;6;0.0025
14;6.974366359447;7;0.0025
14;7.31998847926267;8;0.0025
14;7.72321428571428;9;0.0025
14;8.64466754443712;10;0.0025
14;9.3935154707044;11;0.0025
14;11.1216260697827;12;0.0025
14;13.8289993416721;13;0.0025
