time;conc;replicate;expw
0;0.0413223140495837;1;0.04
1;1.65289256198347;1;0.04
1;1.8595041322314;2;0.04
1;3.4297520661157;3;0.04
1;4.13223140495867;4;0.04
1;4.50413223140495;5;0.04
1;5.12396694214875;6;0.04
1;5.70247933884297;7;0.04
1;5.95041322314049;8;0.04
1;6.11570247933884;9;0.04
1;6.36363636363636;10;0.04
1;7.31404958677686;11;0.04
1;7.52066115702479;12;0.04
2;4.58677685950413;1;0.04
2;5.04132231404958;2;0.04
2;5.16528925619834;3;0.04
2;6.73553719008264;4;0.04
2;6.73553719008264;5;0.04
2;6.73553719008264;6;0.04
2;7.02479338842974;7;0.04
2;7.19008264462809;8;0.04
2;7.72727272727272;9;0.04
2;8.67768595041322;10;0.04
2;9.0495867768595;11;0.04
2;9.58677685950413;12;0.04
2;10.9504132231404;13;0.04
4;5.6198347107438;1;0.04
4;5.74380165289256;2;0.04
4;6.03305785123966;3;0.04
4;6.32231404958677;4;0.04
4;7.19008264462809;5;0.04
4;8.22314049586776;6;0.04
4;8.22314049586776;7;0.04
4;8.84297520661157;8;0.04
4;8.88429752066115;9;0.04
4;9.29752066115702;10;0.04
4;9.91735537190082;11;0.04
4;10.2066115702479;12;0.04
4;13.2644628099173;13;0.04
4;13.9669421487603;14;0.04
7;8.22314049586776;1;0.04
7;9.3388429752066;2;0.04
7;9.54545454545454;3;0.04
7;9.75206611570247;4;0.04
7;11.5702479338842;5;0.04
7;11.8595041322314;6;0.04
7;12.5206611570247;7;0.04
7;13.2644628099173;8;0.04
7;13.6776859504132;9;0.04
7;14.3388429752066;10;0.04
7;18.9256198347107;11;0.04
7;20.2066115702479;12;0.04
8;3.59504132231404;1;0.04
8;4.29752066115702;2;0.04
8;4.95867768595041;3;0.04
8;5.08264462809917;4;0.04
8;5.45454545454545;5;0.04
8;5.74380165289256;6;0.04
8;6.03305785123966;7;0.04
8;6.2396694214876;8;0.04
8;6.5289256198347;9;0.04
8;6.73553719008264;10;0.04
8;7.68595041322313;11;0.04
9;1.73553719008264;1;0.04
9;2.68595041322313;2;0.04
9;3.01652892561983;3;0.04
9;3.18181818181818;4;0.04
9;3.55371900826445;5;0.04
9;3.67768595041322;6;0.04
9;4.62809917355371;7;0.04
9;5.24793388429752;8;0.04
11;0.950413223140493;1;0.04
11;1.19834710743801;2;0.04
11;1.61157024793388;3;0.04
11;1.98347107438016;4;0.04
11;2.10743801652892;5;0.04
11;2.39669421487603;6;0.04
11;2.4793388429752;7;0.04
11;2.64462809917355;8;0.04
11;2.80991735537189;9;0.04
14;0.0413223140495837;1;0.04
14;0.661157024793386;2;0.04
14;0.74380165289256;3;0.04
14;0.991735537190081;4;0.04
14;0.991735537190081;5;0.04
14;1.44628099173553;6;0.04
14;1.77685950413222;7;0.04
14;1.8595041322314;8;0.04
