time	expw	conc	concm1	concm2	replicate
0	100	0	0	0	1
0.021	100	1693	7	44	1
0.021	100	1433	2	30	2
0.063	100	2973	35	69	1
0.063	100	6533	47	219	2
0.104	100	5998	117	506	1
0.104	100	9880	142	771	2
0.229	100	8066	162	1008	1
0.229	100	7933	244	1124	2
0.396	100	9943	336	2394	1
0.396	100	8800	467	2293	2
0.729	100	12345	572	5352	1
0.729	100	11593	723	5701	2
1	100	11519	612	5450	1
1	100	11636	849	6889	2
1	100	12106	688	7341	1
1	100	11317	810	6631	2
1.042	100	7587	465	4184	1
1.042	100	8709	531	5705	2
1.083	100	3755	654	4972	1
1.083	100	4720	374	4064	2
1.167	100	2145	474	4041	1
1.167	100	3411	431	3535	2
1.292	100	803	338	2243	1
1.292	100	676	463	3463	2
1.458	100	341	377	2705	1
1.458	100	1013	562	3618	2
1.75	100	168	384	2282	1
1.75	100	155	28	1005	2
2.083	100	113	136	912	1
2.083	100	161	110	898	2
2.708	100	110	112	853	1
2.708	100	106	14	488	2
3.958	100	139	44	426	1
3.958	100	280	60	727	2
4.958	100	83	30	374	1
4.958	100	58	62	386	2
6	100	117	43	276	1
6	100	74	23	333	2
