time	conc	concm1	expw	replicate
0	0	0	66.329	1
0.218	172.983	169.2	66.329	1
0.219	222.107	213.307	66.329	2
0.447	301.903	325.716	66.329	1
0.448	281.548	436.848	66.329	2
0.989	401.911	783.247	66.329	1
0.99	296.222	906.611	66.329	2
1.218	0	737.091	66.329	1
1.219	96.884	725.656	66.329	2
1.447	96.116	842.476	66.329	1
1.448	56.324	587.492	66.329	2
2.009	0	811.576	66.329	1
2.01	51.53	837.418	66.329	2
2.999	0	646.01	66.329	1
3	0	731.06	66.329	2
4.03	0	742.01	66.329	1
4.031	0	568.589	66.329	2
5.134	47.466	659.106	66.329	1
5.135	0	497.056	66.329	2
6.009	0	768.601	66.329	1
6.01	0	499.199	66.329	2
