time	conc	concm1	expw	replicate
0	0	0	21.025	1
0.218	11.726	70.784	21.025	1
0.219	12.718	81.624	21.025	2
0.405	11.797	86.488	21.025	1
0.406	10.552	114.526	21.025	2
0.989	16.44	171.284	21.025	1
0.99	22.578	228.33	21.025	2
1.218	0	179.574	21.025	1
1.219	14.673	213.66	21.025	2
1.562	12.037	161.153	21.025	1
1.563	0	198.335	21.025	2
1.999	0	217.682	21.025	1
2	13.066	197.132	21.025	2
2.957	0	175.284	21.025	1
2.958	13.542	157.301	21.025	2
5.041	9.789	92.015	21.025	1
5.042	0	120.024	21.025	2
5.999	0	103.272	21.025	1
6	9.374	79.227	21.025	2
