time	conc	concm1	expw	replicate	concm2
0	0	0	7.19	1	0
0.207	1078.68	449.097	7.19	1	0
0.208	1328.326	563.071	7.19	2	63.566
0.405	1105.978	798.918	7.19	1	54.317
0.406	1005.898	1083.441	7.19	2	85.837
0.978	847.994	1010.893	7.19	1	103.455
0.979	817.336	1019.827	7.19	2	179.322
1.228	219.711	778.619	7.19	1	79.154
1.229	399.17	908.246	7.19	2	115.807
1.416	855.571	833.113	7.19	1	105.827
1.417	499.699	683.937	7.19	2	97.724
2.009	566.723	411.327	7.19	1	130.474
2.01	361.818	525.502	7.19	2	150.068
3.02	91.663	309.568	7.19	1	88.777
3.021	56.307	454.533	7.19	2	108.355
4.042	161.079	357.041	7.19	1	99.841
