time	conc	replicate	expw
0	0	1	0.00007604
0.125	0.0754178	1	0.00007604
0.125	0.0253755	2	0.00007604
0.125	0.0143616	3	0.00007604
0.125	0.011371	4	0.00007604
0.125	0.1291503	5	0.00007604
0.375	0.1597622	1	0.00007604
0.375	0.0381208	2	0.00007604
0.375	0.0891233	3	0.00007604
0.375	0.1340502	4	0.00007604
0.375	0.0388237	5	0.00007604
1	0.1525734	1	0.00007604
1	0.0677248	2	0.00007604
1	0.1356289	3	0.00007604
1	0.0554536	4	0.00007604
1	0.1151016	5	0.00007604
2.031	0.090997	1	0.00007604
2.031	0.0142664	2	0.00007604
2.031	0.0852485	3	0.00007604
2.031	0.1803518	4	0.00007604
2.031	0.026456	5	0.00007604
2.169	0.1814536	1	0.00007604
2.169	0.1094703	2	0.00007604
2.169	0.1210128	3	0.00007604
2.169	0.0932714	4	0.00007604
2.169	0.1776892	5	0.00007604
2.458	0.0333815	1	0.00007604
2.458	0.0405431	2	0.00007604
2.458	0.0429915	3	0.00007604
2.458	0.1438224	4	0.00007604
2.458	0.0758842	5	0.00007604
3.042	0.1623035	1	0.00007604
3.042	0.0705563	2	0.00007604
3.042	0.1171303	3	0.00007604
3.042	0.0885364	4	0.00007604
3.042	0.0715374	5	0.00007604
4.043	0.0650473	1	0.00007604
4.043	0.062912	2	0.00007604
4.043	0.0638905	3	0.00007604
4.043	0.0759445	4	0.00007604
5.125	0.0416492	1	0.00007604
5.125	0.0668679	2	0.00007604
5.125	0.0404618	3	0.00007604
5.125	0.0604146	4	0.00007604
7.021	0.0559312	1	0.00007604
7.021	0.0762156	2	0.00007604
7.021	0.0375274	3	0.00007604
7.021	0.0615076	4	0.00007604
7.021	0.0245094	5	0.00007604
