time	conc	replicate	expw
0	0	1	0.000064
0.146	0.0248873	1	0.000064
0.146	0.0147933	2	0.000064
0.146	0.0292094	3	0.000064
0.146	0.0214459	4	0.000064
0.146	0.0171157	5	0.000064
0.385	0.0310939	1	0.000064
0.385	0.0242414	2	0.000064
0.385	0.0266174	3	0.000064
0.385	0.0434221	4	0.000064
0.385	0.0239795	5	0.000064
1.01	0.0418676	1	0.000064
1.01	0.0597534	2	0.000064
1.01	0.0407233	3	0.000064
1.01	0.0429062	4	0.000064
1.01	0.0695527	5	0.000064
2.048	0.0605845	1	0.000064
2.048	0.04584	2	0.000064
2.048	0.0433895	3	0.000064
2.048	0.089452	4	0.000064
2.048	0.0992675	5	0.000064
2.185	0.0595497	1	0.000064
2.185	0.0641347	2	0.000064
2.185	0.0615079	3	0.000064
2.185	0.0693881	4	0.000064
2.185	0.039285	5	0.000064
2.485	0.1156599	1	0.000064
2.485	0.0526402	2	0.000064
2.485	0.0577651	3	0.000064
2.485	0.0331651	4	0.000064
2.485	0.0412002	5	0.000064
3.069	0.0520637	1	0.000064
3.069	0.0654935	2	0.000064
3.069	0.0627356	3	0.000064
3.069	0.0295527	4	0.000064
3.069	0.0541026	5	0.000064
4.069	0.062924	1	0.000064
4.069	0.0325762	2	0.000064
4.069	0.0467036	3	0.000064
4.069	0.0385821	4	0.000064
4.069	0.0729771	5	0.000064
5.152	0.029719	1	0.000064
5.152	0.0210736	2	0.000064
5.152	0.0287746	3	0.000064
5.152	0.0498134	4	0.000064
5.152	0.0391872	5	0.000064
7.058	0.0011377	1	0.000064
7.058	0.0029888	2	0.000064
7.058	0.0053177	3	0.000064
7.058	0.005337	4	0.000064
