time	conc	concm1	expw	replicate	concm2
0	0	0	1651.678	1	0
0.207	1474.39	19259.279	1651.678	1	3912.769
0.208	1798.609	25897.246	1651.678	2	4359.542
0.541	4086.836	51282.171	1651.678	1	7931.055
0.542	3443.312	59337.499	1651.678	2	13075.841
0.978	3656.177	69927.001	1651.678	1	6651.027
0.979	5237.096	66001.024	1651.678	2	8451.829
1.207	6288.768	83449.472	1651.678	1	3986.936
1.208	4000.249	46909.455	1651.678	2	3669.697
1.457	4880.237	66549.676	1651.678	1	4733.403
1.458	3829.33	50731.735	1651.678	2	4405.81
1.999	5640.239	41439.321	1651.678	1	6410.161
2	5280.052	53192.34	1651.678	2	5694.79
2.999	4113.109	42367.083	1651.678	1	5356.859
3	4866.484	42696.633	1651.678	2	3961.216
3.999	3283.121	39178.954	1651.678	1	3327.525
4	4725.242	53867.154	1651.678	2	4908.311
5.02	3714.94	38097.458	1651.678	1	3854.314
5.021	3769.76	51505.163	1651.678	2	3654.321
5.999	5197.725	36218.601	1651.678	1	4700.031
6	2836.331	51318.707	1651.678	2	2245.568
