time	conc	expw	replicate
0	0.0113928764897075	0.025	1
6	0.101154523293607	0.025	1
10	0.183873916576381	0.025	1
24	0.208437161430119	0.025	1
34	0.222464111592632	0.025	1
72	0.228544826652221	0.025	1
96	0.242487134344528	0.025	1
119	0.220202464788732	0.025	1
144	0.181327871072589	0.025	1
168	0.211995530877573	0.025	1
168.1	0.213157894736842	0.025	1
174	0.151754385964912	0.025	1
178	0.146491228070175	0.025	1
192	0.134210526315789	0.025	1
202	0.123684210526315	0.025	1
216	0.124561403508771	0.025	1
264	0.121929824561403	0.025	1
