time	expw	replicate	conc	concm1
0	1.398	1	0	0
0.207	1.398	1	33.444	33.134
0.208	1.398	2	37.048	35.009
0.437	1.398	1	33.015	34.244
0.438	1.398	2	38.938	37.713
0.989	1.398	1	65.169	94.947
0.99	1.398	2	54.41	91.695
1.218	1.398	1	37.134	52.491
1.219	1.398	2	47.06	68.911
1.603	1.398	1	32.016	38.387
1.604	1.398	2	17.461	22.175
2.062	1.398	1	25.302	37.514
2.063	1.398	2	29.539	44.568
2.978	1.398	1	24.591	45.971
2.979	1.398	2	24.312	25.732
5.062	1.398	1	11.251	13.398
5.063	1.398	2	12.42	15.923
6.02	1.398	1	12.358	18.62
6.021	1.398	2	11.215	20.658
