time	expw	replicate	conc	concm1
0	29.9	1	0	0
0.207	29.9	1	2299.517	1429.379
0.208	29.9	2	2352.845	1959.841
0.374	29.9	1	2764.014	2843.999
0.375	29.9	2	4405.093	5721.15
0.989	29.9	1	4823.993	6292.167
0.99	29.9	2	5068.064	5150.636
1.218	29.9	1	3247.495	5513.122
1.219	29.9	2	3110.654	4801.795
1.426	29.9	1	2933.17	6526.419
1.427	29.9	2	1963.311	5104.283
1.999	29.9	1	1318.704	3668.582
2	29.9	2	1296.171	3693.879
2.999	29.9	1	923.961	1588.433
3	29.9	2	457.85	1124.816
3.999	29.9	1	543.653	550.635
4	29.9	2	399.643	470.552
5.062	29.9	1	1208.228	1781.771
5.063	29.9	2	510.593	820.906
5.999	29.9	1	641.635	737.771
6	29.9	2	791.493	866.012
