time;conc;replicate;expw
0;0;A;9.48
5;126.873103565962;A;9.48
5;128.224271156071;B;9.48
5;132.742383600944;C;9.48
10;128.296262325154;A;9.48
10;145.428827397172;B;9.48
24;206.98660964255;A;9.48
24;128.91551969625;B;9.48
29;80.6954346933442;A;9.48
29;-0.0913221311519123;B;9.48
34;24.3443470934231;A;9.48
48;1.95642667832748;A;9.48
72;1.35250075990677;A;9.48
72;0.753907520677501;B;9.48
144;1.35650026930034;A;9.48
0;0;A;7.78
24;217.366003103619;A;7.78
24;195.253382251777;B;7.78
29;79.3442671032353;A;7.78
29;53.1594791038965;B;7.78
34;0.423947995712524;A;7.78
48;34.451107330834;A;7.78
48;0;B;7.78
