time;conc;concm1;expw;replicate
0.0;0.0;0.0;1.3;1
0.0;0.0;0.0;1.3;2
0.0;0.0;0.0;1.3;3
0.25;300.0;50.0;1.3;1
0.25;400.0;100.0;1.3;2
0.25;500.0;100.0;1.3;3
1.0;400.0;200.0;1.3;1
1.0;700.0;500.0;1.3;2
1.0;500.0;900.0;1.3;3
2.0;300.0;400.0;1.3;1
2.0;400.0;900.0;1.3;2
2.0;600.0;1100.0;1.3;3
4.0;350.0;1900.0;1.3;1
4.0;500.0;2700.0;1.3;2
4.0;800.0;2900.0;1.3;3
7.0;1700.0;4000.0;1.3;1
7.0;1100.0;5000.0;1.3;2
7.0;700.0;5300.0;1.3;3
7.0;800.0;4600.0;1.3;4
7.25;350.0;3600.0;1.3;1
7.25;600.0;3300.0;1.3;2
7.25;1000.0;3000.0;1.3;3
8.0;300.0;4400.0;1.3;1
8.0;400.0;5400.0;1.3;2
8.0;150.0;6000.0;1.3;3
9.0;500.0;4800.0;1.3;1
9.0;300.0;4300.0;1.3;2
9.0;250.0;4100.0;1.3;3
11.0;300.0;3600.0;1.3;1
11.0;350.0;5000.0;1.3;2
11.0;400.0;5700.0;1.3;3
