time	expw	conc	concm1	replicate
0.0	1.3	0.0	0.0	1
0.0	1.3	0.0	0.0	2
0.0	1.3	0.0	0.0	3
0.25	1.3	300	50	1
0.25	1.3	400	100	2
0.25	1.3	500	100	3
1.0	1.3	400	200	1
1.0	1.3	700	500	2
1.0	1.3	500	900	3
2.0	1.3	300	400	1
2.0	1.3	400	900	2
2.0	1.3	600	1100	3
4.0	1.3	350	1900	1
4.0	1.3	500	2700	2
4.0	1.3	800	2900	3
7.0	1.3	1700	4000	1
7.0	1.3	1100	5000	2
7.0	1.3	700	5300	3
7.0	1.3	800	4600	4
7.25	1.3	350	3600	1
7.25	1.3	600	3300	2
7.25	1.3	1000	3000	3
8.0	1.3	300	4400	1
8.0	1.3	400	5400	2
8.0	1.3	150	6000	3
9.0	1.3	500	4800	1
9.0	1.3	300	4300	2
9.0	1.3	250	4100	3
11.0	1.3	300	3600	1
11.0	1.3	350	5000	2
11.0	1.3	400	5700	3
