time;conc;expw;replicate
0;8.9;10;1
2;15.3;10;1
4;18.9;10;1
6;9.6;10;1
8;16.4;10;1
10;13.4;10;1
12;19.0;10;1
0;8.9;50;1
2;11.3;50;1
4;16.6;50;1
6;13.5;50;1
8;22.8;50;1
10;19.0;50;1
12;27.1;50;1
0;8.9;100;1
2;15.5;100;1
4;25.4;100;1
6;21.2;100;1
8;30.2;100;1
10;32.3;100;1
12;35.2;100;1
0;8.9;500;1
2;42.5;500;1
4;47.9;500;1
6;52.2;500;1
8;63.1;500;1
10;67.3;500;1
12;94.0;500;1
0;8.9;1000;1
2;63.9;1000;1
4;82.0;1000;1
6;85.5;1000;1
8;112.2;1000;1
0;8.9;5000;1
2;173.1;5000;1
4;221.8;5000;1
6;333.3;5000;1
8;330.1;5000;1
10;338.3;5000;1
12;370.0;5000;1
0;8.9;10000;1
2;321.0;10000;1
4;338.3;10000;1
6;382.0;10000;1
8;383.5;10000;1
10;299.4;10000;1
12;603.0;10000;1
