time	expw	conc	concm1	concm2	replicate
0	80	0	0	0	1
0.021	80	110	0	0	1
0.021	80	108	0	0	2
0.063	80	281	3	2	1
0.063	80	375	4	3	2
0.104	80	486	7	4	1
0.104	80	443	9	6	2
0.229	80	768	44	77	1
0.229	80	735	47	82	2
0.396	80	657	77	174	1
0.396	80	792	113	227	2
0.729	80	787	122	402	1
0.729	80	872	198	429	2
1	80	767	229	555	1
1	80	782	162	543	2
1	80	734	186	593	1
1	80	868	165	519	2
1.042	80	602	129	456	1
1.042	80	1048	169	571	2
1.083	80	683	195	752	1
1.083	80	648	174	538	2
1.167	80	589	107	565	1
1.167	80	520	126	558	2
1.292	80	466	129	412	1
1.292	80	496	144	557	2
1.458	80	393	113	482	1
1.458	80	459	94	508	2
1.75	80	323	110	419	1
1.75	80	336	61	392	2
2.083	80	255	82	332	1
2.083	80	292	47	320	2
2.708	80	193	39	377	1
2.708	80	158	45	223	2
3.958	80	267	35	305	1
3.958	80	60	13	53	2
4.958	80	83	19	149	1
4.958	80	63	25	158	2
6	80	60	6	87	1
6	80	52	15	82	2
