time	expw	conc	replicate	concm1
0	3.557	0	1	0
0.02	3.557	0.1	1	0.09
0.06	3.557	0.43	1	0.36
0.1	3.557	0.73	1	1.06
0.23	3.557	0.98	1	3.67
0.4	3.557	1.3	1	6.12
0.73	3.557	2.02	1	20.16
1	3.557	1.81	1	39.88
1	3.557	1.86	1	36.33
2	3.557	1.97	1	52.64
2	3.557	2.15	1	27.94
3	3.557	2.36	1	41.86
4	3.557	2.21	1	86.25
5	3.557	1.03	1	70.53
5	3.557	2.41	1	77.25
10	3.557	2.13	1	74.81
0	3.557	0	2	0
0.02	3.557	0.1	2	0.15
0.06	3.557	0.4	2	0.22
0.1	3.557	1.35	2	2.22
0.23	3.557	0.8	2	3.31
0.4	3.557	1.61	2	10.59
0.73	3.557	1.79	2	21.81
1	3.557	2.3	2	26.51
1	3.557	1.5	2	30.83
2	3.557	2.94	2	71.12
2	3.557	2.25	2	39.68
3	3.557	3.19	2	41.22
4	3.557	1.82	2	75.8
5	3.557	1.85	2	72.53
5	3.557	2.03	2	102.27
10	3.557	2.17	2	84.19
