time	expw	conc	concm1	replicate
0	3.557	0	0	1
0.02	3.557	0.1	0.09	1
0.06	3.557	0.43	0.36	1
0.1	3.557	0.73	1.06	1
0.23	3.557	0.98	3.67	1
0.4	3.557	1.3	6.12	1
0.73	3.557	2.02	20.16	1
1	3.557	1.81	39.88	1
1	3.557	1.86	36.33	1
1.04	3.557	1.14	43.89	1
1.08	3.557	0.96	27.03	1
1.17	3.557	0.97	43.79	1
1.29	3.557	0.56	30.63	1
1.46	3.557	0.45	32.06	1
1.75	3.557	0.35	34.47	1
2.08	3.557	0.38	29.91	1
2.71	3.557	0.21	39.64	1
3.13	3.557	0.11	36.04	1
3.96	3.557	0.08	32.32	1
4.96	3.557	0.11	20.4	1
6	3.557	0.04	30.07	1
0	3.557	0	0	2
0.02	3.557	0.1	0.15	2
0.06	3.557	0.4	0.22	2
0.1	3.557	1.35	2.22	2
0.23	3.557	0.8	3.31	2
0.4	3.557	1.61	10.59	2
0.73	3.557	1.79	21.81	2
1	3.557	2.3	26.51	2
1	3.557	1.5	30.83	2
1.04	3.557	1.16	35.61	2
1.08	3.557	1.32	38.51	2
1.17	3.557	0.96	31.11	2
1.29	3.557	0.72	32.55	2
1.46	3.557	0.76	25.53	2
1.75	3.557	0.42	43.35	2
2.08	3.557	0.18	31.67	2
2.71	3.557	0.11	30.97	2
3.13	3.557	0.06	17.32	2
3.96	3.557	0.09	32.53	2
4.96	3.557	0.05	20.59	2
6	3.557	0.01	14.62	2
